"reporter_county","reporter_state","total_gms"
"GUAM","GU","3.40538292695625E7"
"YOLO","CA","2.7682291033828944E7"
"WOOD","OH","2.5300040896726944E7"
"PALM BEACH","FL","1.9832969007021587E7"
"BENTON","AR","1.8007371067140244E7"
"POLK","FL","1.79325191774956E7"
"LOS ANGELES","CA","1.6014550727935791E7"
"MARICOPA","AZ","1.3602009160568349E7"
"KNOX","TN","1.3517889452615527E7"
"FRANKLIN","OH","1.2952340418608455E7"
"ESSEX","MA","1.2624994518161412E7"
"GLOUCESTER","NJ","1.1714908418578735E7"
"SACRAMENTO","CA","1.1351559964613376E7"
"BURLINGTON","NJ","1.086927827909712E7"
"GWINNETT","GA","1.0537220035805376E7"
"ORANGE","FL","1.0465567173018437E7"
"QUEENS","NY","9661196.685685186"
"DUPAGE","IL","9391935.944876777"
"OHIO","WV","9239958.089498093"
"ELLIS","TX","9196536.869613215"
"BROWARD","FL","8407066.266160268"
"GUILFORD","NC","8039899.9064866295"
"ONONDAGA","NY","7902423.414113779"
"MARION","IN","7767209.505074449"
"RIVERSIDE","CA","7496690.841355959"
"DENTON","TX","6978271.477179109"
"WAYNE","MI","6956242.157006898"
"KING","WA","6627156.079171875"
"SALT LAKE","UT","6575594.993991631"
"SPARTANBURG","SC","6533115.990230332"
"OKLAHOMA","OK","6485534.900939553"
"CADDO","LA","6351711.547033605"
"HAMILTON","OH","6048929.8925774945"
"PRINCE GEORGES","MD","5527050.611079821"
"SHELBY","AL","5526658.95340674"
"HARFORD","MD","5461795.617512075"
"JEFFERSON","IL","5256418.159381588"
"JEFFERSON","AL","5154874.044358483"
"NORTHAMPTON","PA","5046683.103038053"
"MONTGOMERY","TX","4999460.205668042"
"HARTFORD","CT","4920247.704092107"
"ORANGE","CA","4905171.080238718"
"SAINT CHARLES","MO","4727470.867802214"
"MADISON","MS","4615228.547344744"
"LAWRENCE","PA","4590434.343181168"
"DURHAM","NC","4483910.590706264"
"FAYETTE","OH","4422992.007230909"
"CLACKAMAS","OR","4275372.328869906"
"SHELBY","TN","4224270.393951822"
"DANE","WI","4075794.0810910426"
"SNOHOMISH","WA","4061030.8763486957"
"MCCRACKEN","KY","3975912.631670884"
"LUCAS","OH","3606777.98948581"
"ERIE","NY","3560564.201515604"
"HANCOCK","OH","3454833.226681908"
"HENRY","GA","3377989.38201783"
"PLATTE","MO","3252424.905151456"
"INGHAM","MI","3250351.926045034"
"TIFT","GA","3221822.563201259"
"FORT BEND","TX","3033577.51543923"
"LOWNDES","GA","3011130.884074932"
"BLAIR","PA","3006958.725908933"
"KINGS","CA","3002561.3944211043"
"WELLS","IN","2979281.303650975"
"LA SALLE","IL","2794541.4696253524"
"MONTGOMERY","IN","2739239.758500984"
"ALAMEDA","CA","2629175.2756473427"
"BRADLEY","TN","2583366.192940799"
"GREENE","AR","2545367.1130474876"
"ADAMS","CO","2503171.7987616137"
"HENRICO","VA","2420724.843911683"
"ANDERSON","SC","2410673.0748604354"
"HUDSON","NJ","2315419.1588873933"
"DENVER","CO","2303262.5756493066"
"WASHINGTON","MD","2258579.2198807695"
"WILL","IL","2018471.2283227427"
"LA CROSSE","WI","1929411.0137293153"
"JACKSON","MO","1893428.0357033752"
"WAKE","NC","1829175.3178538703"
"JEFFERSON","KY","1720735.2699001273"
"COCONINO","AZ","1709602.8059201632"
"SUFFOLK","NY","1688328.9804429112"
"RAMSEY","MN","1671507.5442914146"
"SAINT LANDRY","LA","1577470.8148421983"
"OAKLAND","MI","1574483.6157235722"
"HONOLULU","HI","1511592.4948869355"
"SAN JOAQUIN","CA","1507664.0445170547"
"PROVIDENCE","RI","1484234.077575177"
"CAPE GIRARDEAU","MO","1436384.2982723427"
"BRISTOL","MA","1344446.4875011127"
"JEFFERSON","AR","1332100.8650550426"
"SARPY","NE","1317526.6792508666"
"SAINT CROIX","WI","1285614.7646259726"
"MADISON","AL","1227338.5665799924"
"BEXAR","TX","1156616.0584650205"
"TARRANT","TX","1122274.9573902227"
"JACKSON","AL","1082565.8990865175"
"TUSCALOOSA","AL","1005029.9869450587"
"WARREN","OH","977995.0340222558"
"ROCKINGHAM","NH","900613.6818946078"
"CAROLINE","VA","872438.2167509637"
"HENNEPIN","MN","819632.6163338372"
"GREENE","MO","758975.5148416064"
"MONROE","NY","745574.5969892817"
"SANGAMON","IL","743797.4286172308"
"BERGEN","NJ","730592.5518214033"
"MECKLENBURG","NC","726010.6083770312"
"CALLOWAY","KY","711117.677149994"
"BUCKS","PA","636022.8904340114"
"WINDHAM","CT","608707.9684650011"
"BALTIMORE","MD","577967.6914200281"
"STANISLAUS","CA","577532.832600001"
"INDIAN RIVER","FL","486586.46624999645"
"LAKE","IL","471340.7062065024"
"CHITTENDEN","VT","434920.075975826"
"LUCAS","IA","424339.6922999838"
"KENT","MI","423889.92550500965"
"COWETA","GA","416811.3643750052"
"NIAGARA","NY","376263.6662559992"
"WASHINGTON","PA","365477.08921500563"
"ANCHORAGE","AK","344477.00053310546"
"KAY","OK","340997.7553500015"
"DUVAL","FL","336091.77556452795"
"SAINT LAWRENCE","NY","330039.4099500004"
"PUTNAM","TN","310577.246856"
"LEHIGH","PA","309246.56628500303"
"CASS","ND","300535.8771850546"
"MULTNOMAH","OR","281885.98246999976"
"COOK","IL","276887.9825150012"
"MIAMI-DADE","FL","275197.77542775037"
"RUTHERFORD","TN","235451.32178850003"
"DAVIDSON","TN","229306.79680147488"
"SHELBY","KY","227993.05998785055"
"ANOKA","MN","216035.28349580127"
"PHILADELPHIA","PA","200075.66261000026"
"MEDINA","OH","195915.62803500093"
"CAGUAS","PR","181344.3217802758"
"TULSA","OK","178112.94634000005"
"SAINT LOUIS","MO","172445.28016922774"
"HALL","GA","166751.29280094843"
"CHEMUNG","NY","157892.2551000007"
"WARD","ND","153486.27828155048"
"MORRIS","NJ","147257.55261872514"
"CHAMBERS","TX","147126.1484100753"
"FLORENCE","SC","143035.31515470028"
"VOLUSIA","FL","136602.02850000016"
"BARREN","KY","135774.96501000042"
"GUAYNABO","PR","129105.41701357547"
"DELAWARE","NY","124337.68355999999"
"GREENVILLE","SC","103383.7039500004"
"OUACHITA","LA","77915.05567500026"
"LAUDERDALE","MS","71165.21365589996"
"WASHINGTON","WI","58291.79085620011"
"PINELLAS","FL","58172.86106825"
"SAN LUIS OBISPO","CA","56072.441429340004"
"BROWN","SD","54873.88501739996"
"MONTGOMERY","PA","54473.701380000006"
"SAINT CHARLES","LA","50943.215769"
"SAN DIEGO","CA","48639.204077725066"
"WASHOE","NV","43820.89482500007"
"PIMA","AZ","35066.26109250004"
"VENTURA","CA","34342.01310050001"
"LANCASTER","PA","33319.433096999965"
"PUTNAM","NY","31796.882699999995"
"TULARE","CA","31175.014227499873"
"BLAND","VA","30430.126300000014"
"RANKIN","MS","28227.49391250001"
"PORTER","IN","27737.17288500002"
"LEXINGTON","SC","25078.61334650003"
"FAYETTE","KY","23930.89691500002"
"SAN BERNARDINO","CA","23449.557024999955"
"JEFFERSON","CO","22021.580734999996"
"FULTON","GA","21142.910267499985"
"HARRISON","MS","20636.071845000013"
"NEW CASTLE","DE","19259.442900000005"
"BERNALILLO","NM","16672.54062"
"ALLEGHENY","PA","13441.393499999993"
"SAN JUAN","PR","11256.790453999993"
"HARRIS","TX","11246.172982325"
"MONROE","KY","10464.036299999998"
"SOMERSET","NJ","9274.695630000002"
"PONCE","PR","8522.667714999998"
"MUSCOGEE","GA","8466.352514999988"
"ORANGE","NC","7109.865130000001"
"BULLITT","KY","6935.963649999995"
"INDIANA","PA","6866.038154999997"
"SCHENECTADY","NY","6772.912499999997"
"VANCE","NC","5881.536674999995"
"DORADO","PR","5281.259797999998"
"BRONX","NY","5243.178420875"
"MIDDLESEX","MA","4967.460221999994"
"DAWSON","NE","4714.295204999999"
"SCHOHARIE","NY","4219.761083"
"CLARK","NV","3998.4515499999993"
"CHARLESTON","SC","3961.8321889999997"
"NEW YORK","NY","3777.732156"
"DISTRICT OF COLUMBIA","DC","2986.4656250000003"
"DALLAS","TX","2949.9910999999997"
"PIERCE","WA","2841.444900000001"
"WYANDOTTE","KS","2670.6221000000014"
"HILLSBOROUGH","NH","2490.0287499999995"
"RICHLAND","SC","2462.1618000000026"
"LAFAYETTE","MS","1933.420575"
"BUNCOMBE","NC","1908.2207999999996"
"SALEM","VA","1609.9099499999995"
"WILSON","NC","1587.25325"
"WASHINGTON","OR","1513.8027000000022"
"LUZERNE","PA","1497.8579775000005"
"CHEROKEE","AL","1438.4088000000002"
"MIDDLESEX","NJ","1312.2045"
"BOONE","IN","1264.3779000000027"
"DAUPHIN","PA","1255.599600000002"
"YORK","PA","1235.318700000002"
"CANYON","ID","1171.1463000000017"
"LINCOLN","LA","1128.61695"
"HAMILTON","IN","1072.9201500000001"
"MARIN","CA","995.3627369999999"
"LEON","FL","960.685044"
"RICHMOND","GA","712.048057575"
"MARSHALL","AL","681.0749999999999"
"BAYAMON","PR","602.6448875000001"
"TOA BAJA","PR","551.0653500000002"
"BOONE","IA","542.7411000000004"
"KINGS","NY","537.0845025750002"
"BASTROP","TX","488.55779999999993"
"FAIRFIELD","CT","437.00799"
"CABARRUS","NC","423.40162499999997"
"POLK","WI","364.60215"
"TRAVIS","TX","347.04252299999996"
"MUSKINGUM","OH","328.81695599999995"
"POLK","IA","295.74416610000003"
"ESSEX","NJ","268.62203399999953"
"AGUADILLA","PR","260.20815000000005"
"FORSYTH","GA","222.18644999999998"
"CHESTERFIELD","VA","204.77075000000002"
"ST JOSEPH","IN","196.14959999999996"
"TIPPAH","MS","157.1013"
"SIMPSON","KY","145.296"
"HOWARD","MD","121.08"
"DELAWARE","PA","115.34630000000001"
"COLUMBIANA","OH","100.40799999999999"
"HILLSBOROUGH","FL","97.77210000000001"
"NEW HANOVER","NC","82.78281"
"CLARK","WA","74.85715"
"MILWAUKEE","WI","67.36089999999999"
"BUCHANAN","MO","62.65890000000002"
"DESOTO","MS","61.721799999999995"
"PLYMOUTH","MA","55.639900000000004"
"LOVE","OK","52.82115"
"MONMOUTH","NJ","52.44525000000001"
"MONROE","MI","48.431999999999995"
"PASCO","FL","43.6974693"
"SUFFOLK","MA","42.22665"
"JACKSON","IN","39.351"
"MACOMB","MI","36.48225000000001"
"EAST BATON ROUGE","LA","35.712800000000016"
"COBB","GA","30.037999999999997"
"SUWANNEE","FL","28.4695725"
"LIVINGSTON","LA","18.010650000000002"
"MINNEHAHA","SD","16.0431"
"NORFOLK","MA","14.471599999999997"
"HARDIN","IA","13.3188"
"SULLIVAN","TN","13.016100000000002"
"NASSAU","NY","9.125824999999999"
"MACON","NC","9.081"
"ONEIDA","NY","8.964999999999998"
"FLOYD","GA","6.2755"
"SIOUX","IA","5.7513000000000005"
"KALAMAZOO","MI","5.29725"
"BLUE EARTH","MN","4.525365"
"MASON","WV","3.30321375"
"CHESTER","PA","3.2207279999999994"
"KERN","CA","3.027"
"CAROLINA","PR","2.27025"
"ROGERS","OK","1.3318800000000002"
"NEW HAVEN","CT","0.9413249999999999"
"FORSYTH","NC","0.6674534999999999"
"MARION","FL","0.6054"
"SMITH","TX","0.6054"
"PASSAIC","NJ","0.4555952999999999"
"FAULKNER","AR","0.44825"
"BEAUFORT","SC","0.44825"
"KANE","IL","0.3027"
"ALLEGANY","MD","0.075675"
"LANCASTER","NE","0.03586"
